bin,bin_range,count,avg_confidence,accuracy
0,0.0-0.1,0,,
1,0.1-0.2,4,0.18341628834605211,0.0
2,0.2-0.3,32,0.2663337248377502,0.21875
3,0.3-0.4,86,0.35324545100677845,0.37209302325581395
4,0.4-0.5,167,0.45219748944579485,0.5269461077844312
5,0.5-0.6,180,0.5502227962017059,0.5777777777777777
6,0.6-0.7,156,0.6537973968646466,0.6730769230769231
7,0.7-0.8,181,0.7501391495130338,0.7790055248618785
8,0.8-0.9,231,0.8521205643554787,0.8441558441558441
9,0.9-1.0,1251,0.9789758011115064,0.9776179056754596
