is_ood,true_label,k1_pred,k1_confidence,k1_action,k1_correct,k2_pred,k2_confidence,k2_action,k2_correct,k3_pred,k3_confidence,k3_action,k3_correct,true_class_name
False,17,28,0.337214857339859,Ask for help,False,21,0.3278244137763977,Ask for help,False,28,0.4128558933734894,Ask for help,False,monitor
False,5,29,0.5774293541908264,Ask for help,False,15,0.5026654601097107,Ask for help,False,15,0.3621712923049927,Ask for help,False,car
False,20,19,0.7102950811386108,Ask for help,False,19,0.35556331276893616,Ask for help,False,19,0.23739118874073029,Ask for help,False,piano
False,17,28,0.8530048131942749,Re-scan,False,28,0.42667827010154724,Ask for help,False,28,0.2844579219818115,Ask for help,False,monitor
False,9,19,0.5657311081886292,Ask for help,False,19,0.2828667163848877,Ask for help,False,19,0.18858455121517181,Ask for help,False,desk
False,28,8,0.38066214323043823,Ask for help,False,8,0.28063109517097473,Ask for help,False,8,0.20449961721897125,Ask for help,False,table
False,30,22,0.25865277647972107,Ask for help,False,28,0.29781532287597656,Ask for help,False,28,0.2721309959888458,Ask for help,False,toilet
False,20,8,0.26426565647125244,Ask for help,False,21,0.1942065954208374,Ask for help,False,28,0.36449119448661804,Ask for help,False,piano
False,11,28,0.6539690494537354,Ask for help,False,28,0.32714319229125977,Ask for help,False,28,0.22147774696350098,Ask for help,False,dresser
False,11,28,0.4694133400917053,Ask for help,False,29,0.4638681411743164,Ask for help,False,29,0.510911226272583,Ask for help,False,dresser
False,0,28,0.4234594404697418,Ask for help,False,34,0.24029064178466797,Ask for help,False,19,0.24010016024112701,Ask for help,False,airplane
False,23,6,0.7894180417060852,Re-scan,False,6,0.39491868019104004,Ask for help,False,28,0.29815784096717834,Ask for help,False,range_hood
False,12,21,0.7067252993583679,Ask for help,False,21,0.4406769275665283,Ask for help,False,21,0.3847287893295288,Ask for help,False,flower_pot
False,31,28,0.9380614161491394,Grasp,False,28,0.4690307080745697,Ask for help,False,28,0.31800416111946106,Ask for help,False,tv_stand
False,7,29,0.26643866300582886,Ask for help,False,29,0.21697430312633514,Ask for help,False,7,0.3223617374897003,Ask for help,True,cone
False,20,27,0.45774489641189575,Ask for help,False,27,0.33973050117492676,Ask for help,False,27,0.22995369136333466,Ask for help,False,piano
False,2,19,0.7313792109489441,Ask for help,False,19,0.40086129307746887,Ask for help,False,19,0.3422316014766693,Ask for help,False,bed
False,6,21,0.6268061995506287,Ask for help,False,21,0.346480131149292,Ask for help,False,21,0.2722812294960022,Ask for help,False,chair
False,1,21,0.2410852015018463,Ask for help,False,22,0.16751664876937866,Ask for help,False,21,0.22906720638275146,Ask for help,False,bathtub
False,31,27,0.7404650449752808,Ask for help,False,27,0.7773756980895996,Re-scan,False,27,0.5543698668479919,Ask for help,False,tv_stand
False,25,19,0.7423257231712341,Ask for help,False,19,0.8006131649017334,Re-scan,False,19,0.534177303314209,Ask for help,False,sofa
False,15,15,0.9234796762466431,Grasp,True,15,0.9193126559257507,Grasp,True,15,0.9394774436950684,Grasp,True,lamp
False,23,21,0.41354742646217346,Ask for help,False,28,0.4205290377140045,Ask for help,False,28,0.5770173072814941,Ask for help,False,range_hood
