bin,bin_range,count,avg_confidence,accuracy
0,0.0-0.1,0,,
1,0.1-0.2,6,0.18251814444859818,0.0
2,0.2-0.3,31,0.2557418014734022,0.45161290322580644
3,0.3-0.4,103,0.3511396655179922,0.4174757281553398
4,0.4-0.5,152,0.4518379621991986,0.47368421052631576
5,0.5-0.6,176,0.5502177161926572,0.6136363636363636
6,0.6-0.7,157,0.647773270394392,0.7388535031847133
7,0.7-0.8,189,0.7516158604748034,0.7936507936507936
8,0.8-0.9,243,0.854240824901518,0.8683127572016461
9,0.9-1.0,1231,0.9770149453009753,0.9886271324126726
