sample_idx,is_ood,true_label,true_class_name,pred_label,pred_class_name,correct,confidence,total_entropy,aleatoric,epistemic,variance,error,coverage,cumulative_risk,action
1738,False,6,chair,6,chair,True,0.9999216794967652,0.0009799088584259,0.0008767590625211,0.0001031497959047,5.724245522031879e-10,False,0.0004051863857374392,0.0,Grasp
1411,False,6,chair,6,chair,True,0.999878466129303,0.0014617523411288,0.0012865120079368,0.000175240333192,2.0354538055045172e-09,False,0.0008103727714748784,0.0,Grasp
461,False,25,sofa,25,sofa,True,0.9998542666435242,0.0017656561685726,0.0016229189932346,0.0001427371753379,9.546020640627262e-10,False,0.0012155591572123178,0.0,Grasp
24,False,0,airplane,0,airplane,True,0.9998225569725036,0.0020221944432705,0.0017874686745926,0.0002347257686778,3.972232764937189e-09,False,0.0016207455429497568,0.0,Grasp
196,False,6,chair,6,chair,True,0.9998144507408142,0.0021366002038121,0.0019343914464116,0.0002022087574005,2.7988733553030443e-09,False,0.002025931928687196,0.0,Grasp
1101,False,2,bed,2,bed,True,0.9997900128364564,0.0024583493359386,0.0021406670566648,0.0003176822792738,5.990471674266473e-09,False,0.0024311183144246355,0.0,Grasp
130,False,0,airplane,0,airplane,True,0.9997754096984864,0.0023986732121556,0.0021054425742477,0.0002932306379079,8.487999636486165e-09,False,0.0028363047001620746,0.0,Grasp
958,False,6,chair,6,chair,True,0.999744713306427,0.0027792654000222,0.0024011558853089,0.0003781095147132,9.992659144586469e-09,False,0.0032414910858995136,0.0,Grasp
1587,False,6,chair,6,chair,True,0.9997233748435974,0.0030647339299321,0.0028501183260232,0.0002146156039088,2.7329536411713207e-09,False,0.003646677471636953,0.0,Grasp
1388,False,25,sofa,25,sofa,True,0.9997216463088988,0.0030337325297296,0.0027738204225897,0.0002599121071398,6.180435718761146e-09,False,0.004051863857374392,0.0,Grasp
301,False,25,sofa,25,sofa,True,0.9997076988220216,0.0031956094317138,0.0028018259909003,0.0003937834408134,1.2134358406967747e-08,False,0.004457050243111832,0.0,Grasp
961,False,25,sofa,25,sofa,True,0.9997064471244812,0.0032732584513723,0.0028958339244127,0.0003774245269596,8.203407730889012e-09,False,0.004862236628849271,0.0,Grasp
1177,False,6,chair,6,chair,True,0.9996906518936156,0.0034574740566313,0.0028791797813028,0.0005782942753285,1.807901739425688e-08,False,0.00526742301458671,0.0,Grasp
1769,False,0,airplane,0,airplane,True,0.9996846914291382,0.0033488634508103,0.0028131559956818,0.0005357074551284,2.7266132462955284e-08,False,0.005672609400324149,0.0,Grasp
2239,False,6,chair,6,chair,True,0.9996747970581056,0.0034406897611916,0.0031186849810183,0.0003220047801733,8.009216401205776e-09,False,0.006077795786061589,0.0,Grasp
1990,False,2,bed,2,bed,True,0.9996696710586548,0.003720914479345,0.0033525901380926,0.0003683243412524,6.9278454084553695e-09,False,0.006482982171799027,0.0,Grasp
700,False,0,airplane,0,airplane,True,0.999665141105652,0.0036025405861437,0.0031691482290625,0.0004333923570811,1.3847276214562498e-08,False,0.006888168557536467,0.0,Grasp
1740,False,2,bed,2,bed,True,0.9996466636657716,0.0035764933563768,0.0031145517714321,0.0004619415849447,2.2953509315470914e-08,False,0.007293354943273906,0.0,Grasp
2213,False,2,bed,2,bed,True,0.9996352791786194,0.0040426095947623,0.0036208408419042,0.000421768752858,1.2708324170773722e-08,False,0.007698541329011345,0.0,Grasp
1387,False,25,sofa,25,sofa,True,0.9996278285980223,0.003978625871241,0.0037168795242905,0.0002617463469505,6.325460155665041e-09,False,0.008103727714748784,0.0,Grasp
1654,False,0,airplane,0,airplane,True,0.9996275305747986,0.003963456954807,0.0034118299372494,0.0005516270175576,2.4774447382469592e-08,False,0.008508914100486223,0.0,Grasp
2094,False,6,chair,6,chair,True,0.999625325202942,0.0041483272798359,0.0035282266326248,0.000620100647211,3.1875067918463174e-08,False,0.008914100486223663,0.0,Grasp
1131,False,6,chair,6,chair,True,0.9996203780174256,0.0037663169205188,0.0033297552727162,0.0004365616478025,2.8860364764682345e-08,False,0.009319286871961102,0.0,Grasp
1086,False,0,airplane,0,airplane,True,0.9995818734169006,0.004240124952048,0.0034229874145239,0.0008171375375241,6.54172609415582e-08,False,0.009724473257698542,0.0,Grasp
913,False,6,chair,6,chair,True,0.999581813812256,0.0045506749302148,0.0041487477719783,0.0004019271582365,9.591185623492038e-09,False,0.01012965964343598,0.0,Grasp
